Gender,Age Range,"How did you hear about our BETA Savings account? Advert, Beta Friends, Friends, Family, Others",Do you know your BETA friend,Do you know about our Target Savings account?,How satisfied are you with your BETA account?,Do your requests get treated in a timely manner?,Please rate your experience with your BETA Friend,How do you resolve your complaints?,Will you be interested in loan offerings from us?,Did you know you can use our USSD services on *614*045# to check your balance and buy airtime?,Please tell us how best we can serve you
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"They should instruct the branches to pay, without pin"
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,Yes,Yes,They should increase the amount of withdrawal from the branch
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"The payment, using ATM card should be increase "
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,Is All about the transfer let me my transfer on time 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,No,I look forward for a better network 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Looks forward for a better network 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Is All about the next work 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I love the service very well but all i need u people should do well is all about the transfer thanks 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,THE NETWORK IS VERY POOR WORK ON THE NETWORK
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,BAD NETWORK SERVICE
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Interest on my money
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Pls put interest on my money to encourage me saving more with you people 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Service efficiency and interest 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,Maximum security of funds
Male,35-44,BETA Friends,Yes,Yes,Neutral,No,Very good,Talk to a BETA friend,No,Yes,I want mobile app for my. Beta account
Male,35-44,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,Give me interest apart from target savers 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,No,Very good,Talk to a BETA friend,Yes,Yes,Network improvements 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I don’t get interest rate on my savings instead the debit me for sms
Female,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,Yes,Yes,BETA NETWORK IS TOO BAD
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Interest and gift
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Interest on beta savvings
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,WORK ON BETA NETWORK
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,BAD NETWORK
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,BAD NETWORK
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,WORK ON BETA NETWORK
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,WORK ON NETWORK
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,WORK ON THE NETWORK
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,WORK ON THE NETWORK
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,I wish the bank to upgrade the BETA ACCOUNT so we can be transferring and receiving from other banks.
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,I want to be receiving transfers into my BETA ACCOUNT 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,I wish the bank will upgrade the BETA ACCOUNT so we can be transferring and also receiving money from other banks..
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,The bank should look into there poor network. I find it difficult most times to receive alert.
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,Yes,"I find it difficult most times to withdraw through pos, I will appreciate if the bank look into it."
Male,35-44,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,Yes,The issue I have with my account is to withdraw money with my ATM card in any pos
Male,25-34,BETA Friends,Yes,Yes,Dissatisfied,Yes,Good,Talk to a BETA friend,No,Yes,"Am dissatisfied because the alert and transfer issues for the pass few weeks. My agent told me we can be receiving transfers from other bank's, after trying it, wasn't going through."
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,I wish the bank will improve in withdrawal through POS
Male,18-24,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,I don't issues with my account for now.
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,I enjoy using my account.
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,Yes,I have issues of withdrawing with my ATM through POS
Female,18-24,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Upgrade it for cash out flow ( transfer from beta account to another account)  thank you 
Female,45-59,Advert,Yes,No,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,Easy withdrawal and also make transfer available on the account.
Female,18-24,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,"Please make transfer into the account swift. Sometimes, it takes 24 to 48 hours before money transferred into the account reflects."
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,Please include transfer options to Beta account.
Male,35-44,BETA Friends,Yes,No,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,No comment
Female,35-44,BETA Friends,Yes,No,Satisfied,Yes,Very good,Visit a Branch,Yes,No,Add transfer to the account
Female,60 & above,BETA Friends,Yes,Yes,Dissatisfied,No,Excellent,Talk to a BETA friend,No,No,"1) Make withdrawal easier for us - I can't withdraw using my ATM. 
2) Work on the network issues
3) Transfer"
Female,25-34,BETA Friends,Yes,No,Neutral,Yes,Very good,Visit a Branch,No,Yes,I want beta account to have a phone application in order to be able to make transfers on phone.
Female,45-59,BETA Friends,Yes,Yes,Neutral,No,Very good,Visit a Branch,Yes,Yes,Prompt payment when we need money
Male,60 & above,Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,No,By allowing us to withdraw from the ATM machine with our card
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improvement on the amount to be in the account
Female,60 & above,Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Transfer should be included to features
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,No,"Customer is comfortable with beta,and wish it it can be possible to assist them in financial aspects"
Male,45-59,Friends,Yes,Yes,Satisfied,Yes,Good,Visit a Branch,Yes,No,Nil
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,To be able to withdraw from the canter
Female,35-44,Advert,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Transfer and also improve on network issue when withdrawing.
Male,35-44,Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,No,Yes,"I believe that by serving us better,the bank should always have an active network because it's failed sometimes"
Male,45-59,BETA Friends,Yes,Yes,Neutral,Yes,Very good,Talk to a BETA friend,No,Yes,To improve on Network
Male,35-44,Advert,Yes,No,Satisfied,Yes,Very good,Visit a Branch,No,Yes,I'm fine with your service
Female,45-59,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Provision of loan services
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,WITHDRAW FRM THE COUNTER
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,WITH THE HELP OF NEW BETA FRIEND AM ALRIGHT
Female,25-34,BETA Friends,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,Yes,Yes,To enable BETA transfer to other account with our phone 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Birthday wishes to be sent always to customers
Male,18-24,Family,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Seeing alerts constantly
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Birthday reminder
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Giving loan constantly
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Getting loan
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Need money
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Getting more attention
Female,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,"Update the BETA link,because so much time is wested in the brach trying to to withdrawal and deposit."
Female,35-44,BETA Friends,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Birthday wishes
Male,45-59,BETA Friends,Yes,No,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,As best as possible attached with loan offering
Female,35-44,BETA Friends,Yes,No,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Constant sending of Birthday wishes
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Visit a Branch,No,Yes,"Impowering the in brach platform, ATM pin reset when the customer forgot their pin, and More network "
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Constant sending of alert
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Birthday wishes
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan giving
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,Improve service on transfer from beta to other banks and increase limit on transfer.
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Make transfer possible and improve on our network 
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Birthday wishes
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Loan giving
Female,18-24,BETA Friends,Yes,Yes,Very Dissatisfied,No,Excellent,Talk to a BETA friend,No,Yes,"Enable transfer to other account via GSM 
2 improve your network in order to enable Teller to pay customers in good time,at times I spent close to 2hrs in a brach just to make withdrawal
3 increase your ATm limite"
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Birthday wishes
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Transfer to other bank should b made possible
Female,45-59,BETA Friends,Yes,Yes,Dissatisfied,No,Excellent,Talk to a BETA friend,No,Yes,"Work on your network
2 ATM always have issue when making withdrawal at ATM machine
3 you get to the brach some Tellers always give you attitude "
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"Allow fund transfer once into other banks instead of d 500,000."
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,The Bank should improve in there network for receiving alert.
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"I enjoy usingy BETA Account. Is the best and safest way to save money.
"
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I have no issues with my account. Thank you 
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,I can't withdraw from POS CENTER 
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,To improve on how we can transfer with our beta account
Male,18-24,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank should resolve the poor network issues on BETA
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,The delay in reversing my money was the only issuei have with the account.
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"The best way to help us, is to resolve the transfer issues."
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Network has been a very big issue. Most times I find it difficult to withdraw in the bank due to poor network.
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank should improve in the areas of network in withdrawals.
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,The bank should resolve poor network issues concerning A withdrawal 
Female,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,No,Yes,The bank should resolve the poor network for receiving alert.
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,Yes,Yes,Improve on ur network and transfer  chanels
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"The bank should improve on its network service, because sometimes it takes so much time for the transactions to be treated or sometimes it doesn’t go through at all "
Female,60 & above,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I will like for u to make it possible to transfer into the beta account from any bank 
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,The bank should improve on its network 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,The bank should introduce Access beta application 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Good,Talk to a BETA friend,Yes,Yes,Improve on how fast the response to requests on the Beta account 
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,By making transfer channels available to ease transactions 
Male,25-34,BETA Friends,Yes,Yes,Neutral,Yes,Excellent,Talk to a BETA friend,Yes,Yes,None 
Female,35-44,Family,Yes,Yes,Satisfied,No,Good,Talk to a BETA friend,No,Yes,The bank should improve on it waiting time for customers in the bank 
Male,45-59,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,Your service so far is okay for me
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank should take care of my account and improve your service more than I can ever enjoy 
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Call our contact center team,No,Yes,Please I want to inform you that beta is serving me better but fail to use mobile app to transfer to another bank.
Male,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,I need loan
Male,60 & above,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,By giving us loan for business 
Female,45-59,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,No,I want to be transferring from beta to other bank
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,I will like to do transfer with the beta account to another bank
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Improve in network 
Male,45-59,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank provide App on Beta account 
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,"I like if the bank we work on beta transfer.From beta to other account via mobile app
"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Talk to a BETA friend,No,Yes,"We request for mobile App
Increase in transfer limit, ur above#500,000 as long as is access to access"
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,"Beta should be transferring from beta to other account.
Beta network should be stable."
Male,25-34,Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"The best way u can serve me us, let my beta friend be bringing my money to me anytime I need it"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,Yes,Yes,The bank should make it possible for beta account to make transfer to other banks through the used of mobile app
Male,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"The service are extremely commendable for the time being, I pray for more reliable service henceforth which would be utmost good importance thanks"
Male,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Very good,Visit a Branch,No,Yes,Beta is serving me well but the bank need to work on transfer from beta to other banks
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,No,No,I have the best service with beta savings which have helped and progress my business in the best way I can.I don't have much to request for other than to keep up with the friendly approch and savings support.
Male,35-44,Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes," U should stop debiting charges from my account, that beta is ment for saving, and beta network is disturbing me when ever I want to withdraw money."
Female,25-34,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Am Okay
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,THE MIGRATION AFTER DEPOSITING 50 THOUSAND SHOULD BE COUNCIL
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Visit a Branch,Yes,Yes,Am Okay with all your service to me I don't have problem.
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,STOP MIGRATION 
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,PROVIDE GOOD NETWORK
Male,18-24,BETA Friends,Yes,Yes,Very Satisfied,Yes,Very good,Talk to a BETA friend,Yes,Yes,Your service is good.
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,PROVIDE GOOD NETWORK
Male,25-34,Friends,Yes,No,Satisfied,Yes,Good,Visit a Branch,Yes,No,I just need good service
Male,25-34,BETA Friends,Yes,Yes,Very Satisfied,No,Excellent,Talk to a BETA friend,No,Yes,Okay with the service but improve on the network
Male,25-34,BETA Friends,Yes,No,Very Satisfied,No,Excellent,Visit a Branch,Yes,Yes,I keep having my balance deducted without me receiving my airtime credit.
Female,35-44,BETA Friends,Yes,Yes,Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,Transfer option on the account
Male,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,By making transfer on the account
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,In the areas of network 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,The bank should improve in the areas of their networks 
Female,25-34,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,Yes,Yes,By providing the loan option
Female,35-44,BETA Friends,Yes,Yes,Very Satisfied,Yes,Excellent,Talk to a BETA friend,No,Yes,"In terms of withdrawal the bank should kindly improve because the teller always complains the network is slow,so the bank should improve in their network."
